agencyID,staffID,StaffAgencyID,Status,Status2,SOE,EOE,RehireDate,Position,OfficeStaff,FieldStaff,Person,Contractor,Title,FirstName,MiddleInitial,LastName,Suffix,Ethnicity,Income,Language,Marital,Sex,SSN,DOB,DOD,Address,Address2,AptNo,County,City,State,Zip,HomePhone,WorkPhone,MobilePhone,Fax,Email,API,NPI,OtherID1,OtherID2,Class,MilitaryStatus,Transportation,Compliant,CompliantThru,HomeLocation,IsManager,IsCoordinator,Coordinator,Manager
4227,370,,5,NAE,1/1/1900 0:00,1/1/1900 0:00,,HHA,0,1,0,0,,,,Santrax Interface,,,,,,0,,1/1/1900 0:00,1/1/1900 0:00,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0
4227,371,9999,1,,,,,OFC,1,0,1,0,,Guest,,Guest,,,,,,0,0,,,,,,,,,,,,,,evvemail,,,,9998,,,,0,,,0,0,0,0
4227,372,101119,2,,1/25/2011 0:00,,,RN,0,1,1,0,,Jennifer,,Sanders,,,,,,2,565478777,,,,,,,,,,,,,,a@gmail.com,,,,101119,,,,1,11/1/2012 0:00,,0,1,0,0
4227,373,101107,2,,5/1/2009 0:00,,,HHA,0,1,1,0,,Sarah,,Jackson,,,,,,2,123456879,,,,,,,,,,,,,,,,,,101107,,,,1,5/9/2013 0:00,,0,0,0,0
4227,374,101103,3,ML,,,,MSW,0,1,1,0,Mr.,Jennifer,,Deloni,,,,,,0,123589634,,,,,,,,,,,,,,,,,,101103,,,,0,,,0,0,0,0
4227,375,28,2,,7/15/2010 0:00,,,HHA,0,1,1,0,,Harrieto,,Williams,,,,,,2,545188788,8/19/1976 0:00,,2325 Old Buckroe Rd.,,#25,Hampton City,Hampton,VA,23668,7578512145,,,,,,,,28,,,,1,7/12/2012 0:00,,0,0,0,0
4227,376,101102,2,,4/15/2004 0:00,,,PT,0,1,1,0,,Jamesosi,,Darringer,,,,,Married,1,564878870,8/4/1964 0:00,,258 Little Back Rd.,,,Hampton City,Hampton,VA,23666,7572564874,,7576548521,,,,,,101102,,,,1,5/18/2013 0:00,,0,0,0,0
4227,377,101120,2,,4/19/2009 0:00,,,CNA,0,1,1,0,,Henry,,Smith,,,,,Married,1,588445487,8/29/1972 0:00,,3258 King St.,,,Hampton City,Hampton,VA,23669,7578512035,,7572625965,,,,,,101120,,,,1,4/25/2012 0:00,,0,0,0,0
4227,378,101100,3,FMLA,8/24/2010 0:00,,,RN,0,1,1,0,,Mary,,Adams,,,,,Single,2,280132,11/25/1973 0:00,,110 Seward Dr.,,,Hampton City,Hampton,VA,23669,7571489444,,7576321545,,,,,,101100,Full Time,,,0,,,1,0,380,0
4227,379,101122,2,,7/6/2010 0:00,,,HHA,0,1,1,0,,Heather,,Watson,,,,,Married,2,545677454,8/19/1974 0:00,,3625 Bennetts Creek Rd.,,,Suffolk City,Suffolk,VA,23434,7574845621,,7572621547,,,,,,101122,,,,1,4/10/2012 0:00,,0,0,0,0
4227,380,101101,2,,4/23/1995 0:00,,,RN,0,1,1,0,,Debra,,Askew,,,,,,2,646031444,,,,,,,,,,7572369947,,,,askew@sandata.com,,,,101101,,,,0,,,1,1,0,0
4227,381,101110,4,IE,7/22/2009 0:00,3/6/2017 0:00,2/1/2017 0:00,PT,0,1,1,0,,Sarah,,Lassinger,,,,,Married,2,359148794,5/19/1968 0:00,,321 Smith Lane,,,Suffolk City,Suffolk,VA,23434,7578963214,,7572623654,,,,,,101110,,,,1,8/1/2012 0:00,,0,0,0,0
4227,382,101106,2,,1/6/2010 0:00,,,HHA,0,1,1,0,,Heather,,Jackson,,,,,,2,236985475,,,,,,,,,,7574846215,,,,,,,,101106,,,,0,,,0,0,0,0
4227,383,,2,,2/1/2010 0:00,,,OFC,1,0,1,0,,Sarah,,Black,,,,,,2,898548745,,,,,,,,,,7576471154,,,,,,,,,,,,1,12/31/2055 0:00,,0,0,0,0
